,m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
10,0.9881079527559056,0.000755668338229549,-6.9,1424553.298226299,5556.984212296276,0.0,1.0,0.9764285826771651,0.001460319307547195,0.0,7.125637769822557e-05,35,True,0.00011231590997628158,0.09798645767952778,0.0
12,0.96806390625,0.0078082695240725844,-6.849999999999998,921585.6116169532,2960.33154317672,0.0,1.0,0.9448888281250001,0.008948786270842772,0.0,0.007741101540991169,35,True,0.0001736138216386371,0.14788333034079612,0.0
8,0.8957515624999999,0.012871518692361203,-6.799999999999998,671044.5378132032,2266.9817192532864,0.0,1.0,0.823412890625,0.017962506456935708,0.0,0.021042028903808796,35,True,0.00023843424837553595,0.1977749270162631,0.0
5,0.7105609016393443,0.022257158606005824,-6.75,523122.93037934427,1913.1158655300212,0.0,1.0,0.5648384426229508,0.025641700178892692,0.0,0.059941647684432886,35,True,0.00030585545138305344,0.24766097840348628,0.0
11,0.49912820312499995,0.02407675918274749,-6.700000000000002,417257.7224004688,1527.0302597334162,0.0,1.0,0.32274945312500003,0.02214521004071533,0.0,0.07362048997020881,35,True,0.00038345605464058455,0.297541201518683,0.0
6,0.3249877952755905,0.01872773251332849,-6.65,336696.863631496,1127.0887420855763,0.0,1.0,0.1498085826771654,0.014210352593495039,0.0,0.04419151559907626,35,True,0.00047520490174543154,0.34741529900846274,0.0
7,0.2473065625,0.013993184785491617,-6.599999999999998,278335.78964671877,863.9372721927207,0.0,1.0,0.086028203125,0.00878913727483229,0.0,0.02486766726943359,35,True,0.000574845226347219,0.39728295842764094,0.0
9,0.16948703125,0.011425252105369585,-6.549999999999998,230154.81263718748,697.2072374901468,0.0,1.0,0.045304453125000005,0.005183913727870038,0.0,0.016578599363061528,35,True,0.0006951842464933442,0.44714385148155256,0.0
0,0.13329226562500002,0.008162221646547443,-6.5,192400.45192999998,643.5293501381741,0.0,1.0,0.026228124999999998,0.0028699269962756493,0.0,0.008461296924554437,35,True,0.0008315988782511381,0.4969976332311986,0.0
4,0.113685859375,0.0075264161861327925,-6.450000000000002,160600.6526342969,588.9330504299111,0.0,1.0,0.020118671875,0.0023238411894232597,0.0,0.007194197253167724,35,True,0.0009962599614357444,0.5468439412594784,0.0
3,0.0940121875,0.006413584070482924,-6.400000000000001,133897.642165625,595.7156310752041,0.0,1.0,0.0140621875,0.0016664680862822408,0.0,0.005223896101464844,35,True,0.0011949426249200684,0.596682394796717,0.0
1,0.07871690476190475,0.005031693457824586,-6.3500000000000005,110484.88637626983,644.9738304873392,0.0,1.0,0.009360873015873015,0.0010087809837957026,0.0,0.0031645219205782326,35,True,0.0014481618730647046,0.6465125938036074,0.0
2,0.070985625,0.004878624376700063,-6.299999999999998,90698.03164945313,725.8660677070928,0.0,1.0,0.008061953125,0.0010333701247361787,0.0,0.0030229941683593753,35,True,0.001764095615860752,0.6963341180096341,0.0
6,0.9894572499999998,0.0003448873817490922,-6.8,1630706.0248752502,9518.92396329585,0.0,1.0,0.979031,0.0006823772360708492,0.5,5.350422437766511e-06,40,True,9.811701039875663e-05,0.13082034921956723,0.5
7,0.9246704999999998,0.018812704899471937,-6.7,842499.13765125,5201.312146148606,0.0,1.0,0.868819,0.02527146702031709,0.5,0.013803466429750277,40,True,0.00018991117361384353,0.23057155612718183,0.5
5,0.56166475,0.04554283780977672,-6.6,550428.1456695,3559.354915611571,0.0,1.0,0.396359,0.04805299894027266,0.5,0.08089170860743744,40,True,0.0002906828098432137,0.33029666922282724,0.5
0,0.25570525,0.028309878931683945,-6.5,379991.356371,2509.393276804434,0.0,1.0,0.09664149999999999,0.01869932228152832,0.5,0.03125632512243749,40,True,0.0004210622092250591,0.4299929600857479,0.5
3,0.15876525,0.02291144636948936,-6.4,262708.77570525,1319.349560122862,0.0,1.0,0.04567874999999999,0.010543580780032183,0.5,0.02047234539243749,40,True,0.0006090394185366475,0.5296574168457269,0.5
2,0.10167275,0.012717771973610644,-6.3,185411.5374575,1937.7388085024,0.0,1.0,0.0166455,0.003768631849787236,0.5,0.0063081519074375,40,True,0.0008629452200981569,0.6292867151417005,0.5
1,0.0772425641025641,0.008640082546635688,-6.199999999999998,119690.30332461536,2218.1427879258217,0.0,1.0,0.008802307692307693,0.0015521986696486927,0.5,0.002835893983168969,40,True,0.001336783311226638,0.7288771861943335,0.5
4,0.06235117647058824,0.006831227914831144,-6.1,73789.38683205882,1703.8524306456281,0.0,1.0,0.005427941176470588,0.0010223950228668201,0.5,0.0015402719692041507,40,True,0.002168333507963042,0.8284247817255711,0.5
8,0.061141538461538456,0.00806821329362823,-6.0,46281.44163923077,1182.732417954801,0.0,1.0,0.005366153846153845,0.0013155202629112858,0.5,0.001627866120710059,40,True,0.0034571092501227306,0.9279250354379723,0.5
6,0.99215275,0.0002995280448964466,-6.7,1687858.9357455,11323.880682752755,0.0,1.0,0.98437175,0.0005944663505928478,1.0,4.670667437478571e-06,40,True,9.479465173985679e-05,0.12910017172968474,1.0
