,m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
10,0.9881079527559056,0.000755668338229549,-6.9,1424553.298226299,5556.984212296276,0.0,1.0,0.9764285826771651,0.001460319307547195,0.0,7.125637769822557e-05,35,True,0.00011231590997628158,0.09798645767952778,0.0
12,0.96806390625,0.0078082695240725844,-6.849999999999998,921585.6116169532,2960.33154317672,0.0,1.0,0.9448888281250001,0.008948786270842772,0.0,0.007741101540991169,35,True,0.0001736138216386371,0.14788333034079612,0.0
8,0.8957515624999999,0.012871518692361203,-6.799999999999998,671044.5378132032,2266.9817192532864,0.0,1.0,0.823412890625,0.017962506456935708,0.0,0.021042028903808796,35,True,0.00023843424837553595,0.1977749270162631,0.0
5,0.7105609016393443,0.022257158606005824,-6.75,523122.93037934427,1913.1158655300212,0.0,1.0,0.5648384426229508,0.025641700178892692,0.0,0.059941647684432886,35,True,0.00030585545138305344,0.24766097840348628,0.0
11,0.49912820312499995,0.02407675918274749,-6.700000000000002,417257.7224004688,1527.0302597334162,0.0,1.0,0.32274945312500003,0.02214521004071533,0.0,0.07362048997020881,35,True,0.00038345605464058455,0.297541201518683,0.0
6,0.3249877952755905,0.01872773251332849,-6.65,336696.863631496,1127.0887420855763,0.0,1.0,0.1498085826771654,0.014210352593495039,0.0,0.04419151559907626,35,True,0.00047520490174543154,0.34741529900846274,0.0
7,0.2473065625,0.013993184785491617,-6.599999999999998,278335.78964671877,863.9372721927207,0.0,1.0,0.086028203125,0.00878913727483229,0.0,0.02486766726943359,35,True,0.000574845226347219,0.39728295842764094,0.0
9,0.16948703125,0.011425252105369585,-6.549999999999998,230154.81263718748,697.2072374901468,0.0,1.0,0.045304453125000005,0.005183913727870038,0.0,0.016578599363061528,35,True,0.0006951842464933442,0.44714385148155256,0.0
0,0.13329226562500002,0.008162221646547443,-6.5,192400.45192999998,643.5293501381741,0.0,1.0,0.026228124999999998,0.0028699269962756493,0.0,0.008461296924554437,35,True,0.0008315988782511381,0.4969976332311986,0.0
4,0.113685859375,0.0075264161861327925,-6.450000000000002,160600.6526342969,588.9330504299111,0.0,1.0,0.020118671875,0.0023238411894232597,0.0,0.007194197253167724,35,True,0.0009962599614357444,0.5468439412594784,0.0
3,0.0940121875,0.006413584070482924,-6.400000000000001,133897.642165625,595.7156310752041,0.0,1.0,0.0140621875,0.0016664680862822408,0.0,0.005223896101464844,35,True,0.0011949426249200684,0.596682394796717,0.0
1,0.07871690476190475,0.005031693457824586,-6.3500000000000005,110484.88637626983,644.9738304873392,0.0,1.0,0.009360873015873015,0.0010087809837957026,0.0,0.0031645219205782326,35,True,0.0014481618730647046,0.6465125938036074,0.0
2,0.070985625,0.004878624376700063,-6.299999999999998,90698.03164945313,725.8660677070928,0.0,1.0,0.008061953125,0.0010333701247361787,0.0,0.0030229941683593753,35,True,0.001764095615860752,0.6963341180096341,0.0
6,0.9816234999999999,0.0019356615032407399,-6.8,1615860.7583164999,9230.2217374268,0.0,1.0,0.9637304999999999,0.003748784725303209,0.5,0.00014580424775023637,40,True,9.901843285475758e-05,0.13082034921956723,0.5
7,0.8561285,0.025688354895749943,-6.7,848186.7884432499,4995.6659301373675,0.0,1.0,0.75869225,0.03389737211750723,0.5,0.02573624148775,40,True,0.0001886376941730745,0.23057155612718183,0.5
5,0.44439224999999993,0.0349671099116773,-6.6,545715.233197,3250.41601102383,0.0,1.0,0.24517100000000003,0.031227518811589965,0.5,0.047686528139937595,40,True,0.00029319320822814737,0.33029666922282724,0.5
0,0.16707774999999997,0.023895915844278887,-6.5,372275.57249324996,1787.329713623617,0.0,1.0,0.050184000000000006,0.012904038583684984,0.5,0.022269025454937516,40,True,0.000429789144983186,0.4299929600857479,0.5
3,0.09616525000000001,0.012375083128379174,-6.4,259397.74741050001,1728.2982998420619,0.0,1.0,0.01521975,0.0031069246788320917,0.5,0.005971994692437499,40,True,0.0006168133748162357,0.5296574168457269,0.5
2,0.0745565,0.008964195543225252,-6.3,182610.96902649998,1635.844726766396,0.0,1.0,0.008692749999999999,0.0020261943925364502,0.5,0.0031340783077499993,40,True,0.0008761795682535438,0.6292867151417005,0.5
1,0.06260921052631578,0.008225324807619228,-6.199999999999998,119755.56871526316,2124.1509132278966,0.0,1.0,0.006423157894736843,0.0015126018348687288,0.5,0.0025032446520083127,40,True,0.0013360547798860528,0.7288771861943335,0.5
4,0.041999714285714286,0.0053565865288723305,-6.099999999999999,73132.16195914285,1535.888593798383,0.0,1.0,0.002739714285714286,0.000638033017995794,0.5,0.0009757382856326532,40,True,0.0021878199100607487,0.828424781725572,0.5
8,0.04328884615384616,0.006582238672879126,-6.0,45818.206421923074,1237.7505909421081,0.0,1.0,0.0029573076923076922,0.0008081685958325409,0.5,0.001083383490976331,40,True,0.0034920616168738388,0.9279250354379723,0.5
6,0.9805809375000001,0.003239868400085719,-6.7,1627763.5127037498,14001.465700252338,0.0,1.0,0.9618640625000001,0.006103146991303311,1.0,0.0003250875116210805,40,True,9.829437676375765e-05,0.12910017172968474,1.0
