m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
0.9881079527559056,0.000755668338229549,-6.9,1424553.298226299,5556.984212296276,0.0,1.0,0.9764285826771651,0.001460319307547195,0.0,7.125637769822557e-05,35,True,0.00011231590997628158,0.09762747162843302,0.0
0.96806390625,0.0078082695240725844,-6.849999999999998,921585.6116169532,2960.33154317672,0.0,1.0,0.9448888281250001,0.008948786270842772,0.0,0.007741101540991169,35,True,0.0001736138216386371,0.14734128938718463,0.0
0.8957515624999999,0.012871518692361203,-6.799999999999998,671044.5378132032,2266.9817192532864,0.0,1.0,0.823412890625,0.017962506456935708,0.0,0.021042028903808796,35,True,0.00023843424837553595,0.19704851251358027,0.0
0.7105609016393443,0.022257158606005824,-6.75,523122.93037934427,1913.1158655300212,0.0,1.0,0.5648384426229508,0.025641700178892692,0.0,0.059941647684432886,35,True,0.00030585545138305344,0.24674841679826642,0.0
0.49912820312499995,0.02407675918274749,-6.700000000000002,417257.7224004688,1527.0302597334162,0.0,1.0,0.32274945312500003,0.02214521004071533,0.0,0.07362048997020881,35,True,0.00038345605464058455,0.296440260380234,0.0
0.3249877952755905,0.01872773251332849,-6.65,336696.863631496,1127.0887420855763,0.0,1.0,0.1498085826771654,0.014210352593495039,0.0,0.04419151559907626,35,True,0.00047520490174543154,0.34612328197598313,0.0
0.2473065625,0.013993184785491617,-6.599999999999998,278335.78964671877,863.9372721927207,0.0,1.0,0.086028203125,0.00878913727483229,0.0,0.02486766726943359,35,True,0.000574845226347219,0.3957966990672736,0.0
0.16948703125,0.011425252105369585,-6.549999999999998,230154.81263718748,697.2072374901468,0.0,1.0,0.045304453125000005,0.005183913727870038,0.0,0.016578599363061528,35,True,0.0006951842464933442,0.4454597060438299,0.0
0.13329226562500002,0.008162221646547443,-6.5,192400.45192999998,643.5293501381741,0.0,1.0,0.026228124999999998,0.0028699269962756493,0.0,0.008461296924554437,35,True,0.0008315988782511381,0.49511147229730407,0.0
0.113685859375,0.0075264161861327925,-6.450000000000002,160600.6526342969,588.9330504299111,0.0,1.0,0.020118671875,0.0023238411894232597,0.0,0.007194197253167724,35,True,0.0009962599614357444,0.5447511402627676,0.0
0.0940121875,0.006413584070482924,-6.400000000000001,133897.642165625,595.7156310752041,0.0,1.0,0.0140621875,0.0016664680862822408,0.0,0.005223896101464844,35,True,0.0011949426249200684,0.5943778234039785,0.0
0.07871690476190475,0.005031693457824586,-6.3500000000000005,110484.88637626983,644.9738304873392,0.0,1.0,0.009360873015873015,0.0010087809837957026,0.0,0.0031645219205782326,35,True,0.0014481618730647046,0.6439906041386322,0.0
0.070985625,0.004878624376700063,-6.299999999999998,90698.03164945313,725.8660677070928,0.0,1.0,0.008061953125,0.0010333701247361787,0.0,0.0030229941683593753,35,True,0.001764095615860752,0.6935885316997679,0.0
0.8666087499999999,0.022642893293276484,-6.7,531114.44484375,3265.167186364461,0.0,1.0,0.7710060000000001,0.032351883634773856,0.5,0.019995274423437737,40,True,0.00030125333918769776,0.27441679326554064,0.5
0.65564325,0.04621005647900973,-6.65,426855.97062249994,2263.3055700253,0.0,1.0,0.5131477500000001,0.04951827375269775,0.5,0.08327967872943759,40,True,0.0003748336933571904,0.32428802702402687,0.5
0.4813695,0.040746634542401794,-6.6,360540.7638615,2027.692379668936,0.0,1.0,0.296468,0.03752812172771582,0.5,0.06475140446975,40,True,0.00044377783606589134,0.3741526766714625,0.5
0.281353,0.035306981889618456,-6.55,295872.45140175,1633.6264457890588,0.0,1.0,0.127776,0.02496353322605206,0.5,0.048616489390999995,40,True,0.0005407735638852846,0.42401040650786626,0.5
0.20413774999999998,0.022786116002917158,-6.5,247909.00535525,1533.269964739641,0.0,1.0,0.061921500000000004,0.010892212817904028,0.5,0.020249279024937512,40,True,0.000645398095848605,0.4738608638178456,0.5
0.21764125,0.020945659984911564,-6.45,212286.5146255,1120.852640770837,0.0,1.0,0.06447825,0.011478764506729872,0.5,0.0171105362984375,40,True,0.0007536983697822729,0.5237036780186981,0.5
