L,epsilon,chi_mean,chi_stderr
16,-1.655,14.965067791366579,0.21564534866549595
32,-1.715,49.16421927251815,1.7837595494458778
48,-1.735,95.93441334747966,6.1892223930231145
64,-1.74,163.26081443987687,12.051977948806888
96,-1.755,330.15228059835033,42.279184575827834
128,-1.755,502.5204186154947,53.40325824377458
256,-1.755,1087.9035121723791,187.38458191431675
