,dmu,muc,dmuc
0,0.0,-6.97120039066958,3.402753976808246e-05
1,1.0,-6.53269096807031,5.567132987537152e-05
2,2.0,-5.789337602148368,0.0005586828505172705
3,3.0,-4.9574957029203714,7.299519526853596e-05
4,4.0,-3.9714654158831864,0.00019286074718207445
5,5.0,-2.863422514267172,0.00010443346147381804
