L,epsilon,chi_mean,chi_stderr
16,-1.645,14.711963143878513,0.2323890406426352
32,-1.71,50.47118365817599,1.6418217350017266
48,-1.745,106.5955219865539,12.03905906961566
64,-1.735,161.6922990765015,10.031217891986053
96,-1.755,334.47393507079613,61.544946359940106
128,-1.75,637.3927240408552,57.319096394522916
256,-1.755,1227.5888736847064,196.18467759226996
