,dmu,vc,muc,dmuc,dphic,ddphic
0,0.0,0.00038481140538727706,-6.706614744018317,0.0010080497166436594,0.29094264836719624,0.0010055892145424128
1,0.5,0.0004238463510599462,-6.623407138878674,0.002177120105591536,0.35080974170802537,0.0021712114543107064
2,1.0,0.0022374684957279854,-6.303274107620282,0.003709811598010093,0.6457275645744016,0.0036956336682882895
3,1.5,0.0007596333881199833,-6.3687571681323645,0.0020626799552462055,0.5552374437093677,0.0020551342409197426
4,2.0,0.017856494663622734,-5.887119015868247,0.006908814157692347,1.0082377562006404,0.006866980502228115
5,3.0,0.001667253581975135,-5.945150630600802,0.0030508242539112355,0.8944985522696034,0.0030326425251023803
6,4.0,0.059816241078170816,-5.371860717411287,0.01803899710890685,1.4024575554856205,0.0178394381636513
7,5.0,0.005960736462927534,-5.215808967788911,0.0029695090528982795,1.4912928302588941,0.002929873440479902
8,6.0,0.005821585328470626,-4.989892151637785,0.0077256667387494305,1.64375986435426,0.007591373015548131
9,7.0,0.011760375219901132,-4.605899291986992,0.016776492257734324,1.9447413352222094,0.016333791101234896
10,8.0,0.014355235235044932,-4.252135027787258,0.00963995930757117,2.2076431708326094,0.009270233876530476
11,10.0,0.0492014787641149,-3.3522160856710563,0.045718212523582845,2.877312985455934,0.041311698028519306
