,m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
4,0.04083685714285714,0.0047827315737058096,-6.099999999999999,57840.58002914287,1397.6907141455968,0.0,1.0,0.002445428571428572,0.0004938077642597545,1.0,0.0007777796701224496,40,True,0.0027662239887529536,0.8481421808574688,1.0
7,0.044729310344827584,0.005508009929369064,-6.0,37456.27540448276,885.5622963118784,0.0,1.0,0.002850689655172414,0.0005593607653134425,1.0,0.0008499784512485142,40,True,0.004271647361415205,0.9476510979784741,1.0
8,0.03259769230769231,0.0043404036433242294,-5.900000000000001,22928.416459230764,656.5371543801347,0.0,1.0,0.0015330769230769232,0.0004924546895926316,1.0,0.00047046737928994106,40,True,0.006978240310860435,1.0471086478559388,1.0
6,0.89571375,0.02199489813421046,-6.7,741031.4014967501,4149.054933781953,0.0,1.0,0.82116925,0.029531394349559023,1.5,0.01886612806093746,40,True,0.00021591527656834622,0.22502558584224922,1.5
5,0.5403837499999999,0.04360172810720114,-6.6,462130.60660849995,3150.738611461524,0.0,1.0,0.36615775,0.04058052601908428,1.5,0.07414315273593758,40,True,0.00034622246982127746,0.324749369949134,1.5
0,0.24676799999999996,0.02495909991853852,-6.5,315000.6149365,1742.6619928376458,0.0,1.0,0.08519,0.014121730318182939,1.5,0.024295554176000024,40,True,0.0005079355163552742,0.42444419290395125,1.5
3,0.09754624999999999,0.014870627953424382,-6.4,219122.215985,964.3781758393983,0.0,1.0,0.018139,0.005053490705214793,1.5,0.0086237291109375,40,True,0.0007301861168241964,0.5241070284138089,1.5
2,0.0926065,0.011473133424803066,-6.3,156402.35129925,1018.6429839309086,0.0,1.0,0.013709749999999998,0.0037352425261509684,1.5,0.005133786157749998,40,True,0.001023002523113393,0.623734536219326,1.5
1,0.07155425000000001,0.009294095519416533,-6.2,111672.0923955,1122.8611167187403,0.0,1.0,0.0084885,0.0023465911050079783,1.5,0.0033684893069374977,40,True,0.0014327662047679823,0.7233230300210166,1.5
4,0.06801636363636362,0.007408103937097364,-6.1,72901.21641484849,1608.9407175054114,0.0,1.0,0.006381818181818182,0.0011146662986294487,1.5,0.0017555924595041338,40,True,0.00219475075819738,0.8228684422392463,1.5
7,0.041096129032258066,0.00655238260330471,-6.0,48501.38385903225,1043.499578453101,0.0,1.0,0.0029767741935483867,0.0008400585472551963,1.5,0.0012878823721123823,40,True,0.003298874944785802,0.9223662853195251,1.5
8,0.047943846153846156,0.006284769968911367,-5.900000000000001,29328.17744192308,902.687398690239,0.0,1.0,0.0032861538461538458,0.0007908233444519564,1.5,0.0009875414621301768,40,True,0.00545550436323017,1.0218116092742393,1.5
5,0.649889,0.040123346934236775,-6.6,539013.6466945,3306.110643985133,0.0,1.0,0.48514149999999995,0.04565408311358698,2.0,0.0627857876789999,40,True,0.00029683849561360767,0.2984376433639718,2.0
0,0.3053905,0.03307536572457064,-6.5,365678.279271,2090.898768186258,0.0,1.0,0.13592900000000002,0.023124721339415986,2.0,0.04266564250975001,40,True,0.0004375430783555668,0.39812561366669375,2.0
3,0.17160692307692307,0.017932231798293417,-6.400000000000001,247906.80763205126,1434.097128281432,0.0,1.0,0.041668461538461536,0.008062511869356664,2.0,0.012219525490532544,40,True,0.0006454038173791318,0.4977808807424331,2.0
2,0.09399615384615383,0.012298373539455383,-6.300000000000002,176446.85788974358,1047.5376690815663,0.0,1.0,0.014581794871794876,0.0031633207596309925,2.0,0.005746517933925057,40,True,0.0009067886043058883,0.5974000301349845,2.0
1,0.07061179487179488,0.010455058560828994,-6.199999999999998,129820.50147128206,892.768382579176,0.0,1.0,0.009139743589743591,0.0020286102582596443,2.0,0.004153718014727154,40,True,0.0012324709748205219,0.6969792937822492,2.0
4,0.06248307692307691,0.008538485804393429,-6.099999999999999,90458.21441435897,1473.2108812581978,0.0,1.0,0.006675128205128205,0.002005284377536047,2.0,0.0027709933033530586,40,True,0.0017687724772798771,0.7965145140323204,2.0
6,0.04456085714285714,0.006174513301970163,-6.0,63785.078137428565,1213.8858501884806,0.0,1.0,0.0032822857142857146,0.0009287299619032728,2.0,0.0012966157249795925,40,True,0.0025084236732495794,0.8960011041379444,2.0
8,0.041591111111111106,0.005741462442458163,-5.900000000000001,41613.01244222223,1387.3496026600758,0.0,1.0,0.0025874074074074076,0.0005952493773633457,2.0,0.0008575868839506178,40,True,0.003844951148926137,0.9954340049157151,2.0
7,0.037922222222222225,0.0045013068483308275,-5.800000000000001,26141.555378148143,627.8326892283649,0.0,1.0,0.001964814814814815,0.00037395719028051683,2.0,0.0005267198765432099,40,True,0.006120523346278959,1.0948076372355844,2.0
