m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
0.9881079527559056,0.000755668338229549,-6.9,1424553.298226299,5556.984212296276,0.0,1.0,0.9764285826771651,0.001460319307547195,0.0,7.125637769822557e-05,35,True,0.00011231590997628158,0.09762747162843302,0.0
0.96806390625,0.0078082695240725844,-6.849999999999998,921585.6116169532,2960.33154317672,0.0,1.0,0.9448888281250001,0.008948786270842772,0.0,0.007741101540991169,35,True,0.0001736138216386371,0.14734128938718463,0.0
0.8957515624999999,0.012871518692361203,-6.799999999999998,671044.5378132032,2266.9817192532864,0.0,1.0,0.823412890625,0.017962506456935708,0.0,0.021042028903808796,35,True,0.00023843424837553595,0.19704851251358027,0.0
0.7105609016393443,0.022257158606005824,-6.75,523122.93037934427,1913.1158655300212,0.0,1.0,0.5648384426229508,0.025641700178892692,0.0,0.059941647684432886,35,True,0.00030585545138305344,0.24674841679826642,0.0
0.49912820312499995,0.02407675918274749,-6.700000000000002,417257.7224004688,1527.0302597334162,0.0,1.0,0.32274945312500003,0.02214521004071533,0.0,0.07362048997020881,35,True,0.00038345605464058455,0.296440260380234,0.0
0.3249877952755905,0.01872773251332849,-6.65,336696.863631496,1127.0887420855763,0.0,1.0,0.1498085826771654,0.014210352593495039,0.0,0.04419151559907626,35,True,0.00047520490174543154,0.34612328197598313,0.0
0.2473065625,0.013993184785491617,-6.599999999999998,278335.78964671877,863.9372721927207,0.0,1.0,0.086028203125,0.00878913727483229,0.0,0.02486766726943359,35,True,0.000574845226347219,0.3957966990672736,0.0
0.16948703125,0.011425252105369585,-6.549999999999998,230154.81263718748,697.2072374901468,0.0,1.0,0.045304453125000005,0.005183913727870038,0.0,0.016578599363061528,35,True,0.0006951842464933442,0.4454597060438299,0.0
0.13329226562500002,0.008162221646547443,-6.5,192400.45192999998,643.5293501381741,0.0,1.0,0.026228124999999998,0.0028699269962756493,0.0,0.008461296924554437,35,True,0.0008315988782511381,0.49511147229730407,0.0
0.113685859375,0.0075264161861327925,-6.450000000000002,160600.6526342969,588.9330504299111,0.0,1.0,0.020118671875,0.0023238411894232597,0.0,0.007194197253167724,35,True,0.0009962599614357444,0.5447511402627676,0.0
0.0940121875,0.006413584070482924,-6.400000000000001,133897.642165625,595.7156310752041,0.0,1.0,0.0140621875,0.0016664680862822408,0.0,0.005223896101464844,35,True,0.0011949426249200684,0.5943778234039785,0.0
0.07871690476190475,0.005031693457824586,-6.3500000000000005,110484.88637626983,644.9738304873392,0.0,1.0,0.009360873015873015,0.0010087809837957026,0.0,0.0031645219205782326,35,True,0.0014481618730647046,0.6439906041386322,0.0
0.070985625,0.004878624376700063,-6.299999999999998,90698.03164945313,725.8660677070928,0.0,1.0,0.008061953125,0.0010333701247361787,0.0,0.0030229941683593753,35,True,0.001764095615860752,0.6935885316997679,0.0
0.9603057500000001,0.006438123441431936,-6.7,674332.0096400001,4275.167433425285,0.0,1.0,0.92380375,0.011572645973662667,0.5,0.0016166165169374525,40,True,0.00023727184489642994,0.2068711888123816,0.5
0.6639014999999999,0.037464503577061326,-6.6,420249.69709975005,2654.1906245820655,0.0,1.0,0.49550525000000006,0.044030133828985775,0.5,0.05474004829775014,40,True,0.0003807260328899715,0.30659067376217264,0.5
0.3234415,0.03479196059243262,-6.5,288219.02838574996,1657.5254815197331,0.0,1.0,0.1518215,0.028809870296146234,0.5,0.047207096077750005,40,True,0.0005551333681753216,0.4062807481966505,0.5
0.19115325,0.018601751094120902,-6.4,200117.639242,1459.4357506815215,0.0,1.0,0.0500345,0.008228897462912525,0.5,0.013494935014437506,40,True,0.0007995297196491199,0.5059383391760086,0.5
0.11003600000000002,0.012172585138281757,-6.3,145103.46959325002,1150.225787093349,0.0,1.0,0.0178865,0.003783925355520884,0.5,0.005778578703999995,40,True,0.001102661434964357,0.605560055022684,0.5
